ticket_price,travel_time,day_type,is_holiday,dep_hour,mode_enc,route_enc,pay_enc,class_enc,demand,mode,route_type,payment,travel_class
1924,55,1,0,7,0,0,2,2,290,Bus,Fastest,Card,First Class
7012,62,0,0,6,0,0,2,0,155,Bus,Fastest,Card,Economy
9028,459,0,1,18,1,0,0,2,189,Train,Fastest,Cash,First Class
3627,374,0,0,12,0,1,1,2,140,Bus,Easiest,UPI,First Class
4433,74,1,0,12,0,1,2,2,198,Bus,Easiest,Card,First Class
3250,101,0,0,9,0,0,0,1,221,Bus,Fastest,Cash,Business
4654,494,1,0,11,1,0,2,1,180,Train,Fastest,Card,Business
1269,653,0,0,5,1,1,1,2,135,Train,Easiest,UPI,First Class
9225,254,1,0,7,0,1,1,1,214,Bus,Easiest,UPI,Business
9392,352,0,1,12,2,1,0,1,151,Airline,Easiest,Cash,Business
2387,282,1,1,18,1,1,0,0,379,Train,Easiest,Cash,Economy
871,142,0,0,21,1,0,1,1,236,Train,Fastest,UPI,Business
7768,571,1,0,21,2,0,2,2,105,Airline,Fastest,Card,First Class
5673,144,1,1,5,1,0,2,2,227,Train,Fastest,Card,First Class
4415,542,0,0,20,1,0,0,1,208,Train,Fastest,Cash,Business
8789,30,1,1,0,0,1,1,0,172,Bus,Easiest,UPI,Economy
1049,276,0,0,23,1,0,2,0,258,Train,Fastest,Card,Economy
9107,199,1,1,6,2,0,2,1,221,Airline,Fastest,Card,Business
6637,695,1,1,16,1,0,0,0,235,Train,Fastest,Cash,Economy
9175,265,0,0,2,2,0,0,0,61,Airline,Fastest,Cash,Economy
614,368,0,0,8,2,1,0,2,253,Airline,Easiest,Cash,First Class
9455,620,1,0,15,1,0,0,0,160,Train,Fastest,Cash,Economy
7162,392,1,1,14,2,0,2,2,207,Airline,Fastest,Card,First Class
6696,377,0,0,6,0,1,0,1,96,Bus,Easiest,Cash,Business
3106,315,1,0,2,1,0,0,2,187,Train,Fastest,Cash,First Class
1628,272,0,1,15,1,0,1,0,310,Train,Fastest,UPI,Economy
2797,418,0,1,8,1,1,1,2,343,Train,Easiest,UPI,First Class
9205,528,0,0,9,0,0,2,2,83,Bus,Fastest,Card,First Class
8983,92,1,0,1,2,1,2,2,99,Airline,Easiest,Card,First Class
1412,220,0,0,21,0,1,0,2,206,Bus,Easiest,Cash,First Class
4133,622,0,0,13,2,1,1,0,143,Airline,Easiest,UPI,Economy
4451,435,0,1,14,1,0,0,1,206,Train,Fastest,Cash,Business
9324,132,0,0,16,1,0,1,0,158,Train,Fastest,UPI,Economy
2684,478,1,0,21,2,1,2,0,208,Airline,Easiest,Card,Economy
2300,300,0,0,23,2,0,1,1,164,Airline,Fastest,UPI,Business
3435,679,1,1,8,0,0,2,1,276,Bus,Fastest,Card,Business
4633,75,0,1,4,2,1,0,2,134,Airline,Easiest,Cash,First Class
9289,39,0,0,22,0,0,1,2,101,Bus,Fastest,UPI,First Class
9152,181,1,0,1,1,1,0,1,93,Train,Easiest,Cash,Business
1784,392,1,0,7,0,0,1,0,315,Bus,Fastest,UPI,Economy
3038,370,1,0,8,0,0,1,0,295,Bus,Fastest,UPI,Economy
7641,388,1,0,7,0,0,1,1,185,Bus,Fastest,UPI,Business
4664,101,1,1,20,2,1,2,2,316,Airline,Easiest,Card,First Class
4379,212,1,0,3,2,1,1,2,135,Airline,Easiest,UPI,First Class
5239,476,0,1,18,0,1,0,2,206,Bus,Easiest,Cash,First Class
8921,231,1,1,2,2,1,2,1,157,Airline,Easiest,Card,Business
2141,337,1,1,10,1,1,2,0,336,Train,Easiest,Card,Economy
6311,208,1,1,17,0,1,1,0,353,Bus,Easiest,UPI,Economy
7143,623,1,1,14,1,0,2,1,224,Train,Fastest,Card,Business
2880,116,1,1,2,0,1,0,0,216,Bus,Easiest,Cash,Economy
2514,55,0,0,15,2,0,1,1,223,Airline,Fastest,UPI,Business
6391,536,1,0,4,2,0,0,1,72,Airline,Fastest,Cash,Business
3685,210,1,0,17,0,0,1,0,310,Bus,Fastest,UPI,Economy
9257,639,1,1,19,2,1,2,1,197,Airline,Easiest,Card,Business
2707,516,1,1,7,2,1,2,1,305,Airline,Easiest,Card,Business
1369,322,0,1,10,1,0,0,0,289,Train,Fastest,Cash,Economy
3888,422,0,0,2,1,1,1,2,89,Train,Easiest,UPI,First Class
6983,428,0,1,15,0,1,1,1,170,Bus,Easiest,UPI,Business
